customer_id,gender,age,annual_income,spending_score,membership_duration_months,churn
1,Male,34,38233.82,4,53,0
2,Female,26,108971.48,94,72,0
3,Male,50,53904.0,70,104,0
4,Male,37,41656.34,19,68,1
5,Male,30,109987.33,32,111,0
6,Female,45,116008.63,9,95,1
7,Male,65,107591.49,12,28,1
8,Male,46,102856.45,11,75,1
9,Male,30,88971.78,46,107,0
10,Female,63,79577.16,16,65,1
11,Male,52,37828.81,1,49,1
12,Male,23,66760.79,63,47,0
13,Male,35,63541.97,21,52,0
14,Male,68,53377.84,30,102,0
15,Female,22,95107.81,13,88,0
16,Male,64,74628.82,34,54,0
17,Female,42,37294.16,4,60,1
18,Female,19,49816.49,28,57,0
19,Female,27,91493.29,95,47,1
20,Male,47,36851.78,59,31,1
21,Female,67,106608.62,27,105,0
22,Male,62,74563.19,69,46,1
23,Female,22,73252.79,25,114,0
24,Female,50,83316.7,3,26,1
25,Female,18,104221.29,97,113,0
26,Female,35,61302.83,68,114,0
27,Female,49,91021.45,25,5,1
28,Female,64,80915.88,20,84,1
29,Female,66,54032.54,34,52,1
30,Female,28,109076.7,26,105,0
31,Male,38,101768.34,5,75,1
32,Male,43,89260.67,99,120,1
33,Female,42,106552.36,61,54,0
34,Female,39,108056.48,92,33,1
35,Female,44,93752.67,93,50,1
36,Male,66,105331.2,9,38,1
37,Female,30,92772.43,50,27,0
38,Male,50,91212.67,6,98,1
39,Male,51,85675.02,83,15,1
40,Male,58,97744.5,60,96,0
41,Male,52,44274.46,44,61,1
42,Male,18,109278.37,11,21,1
43,Female,38,108465.92,66,46,0
44,Female,65,32632.26,47,69,1
45,Female,23,104323.51,73,6,0
46,Female,45,41598.29,85,38,1
47,Female,34,60160.7,88,62,0
48,Male,22,96915.74,98,86,0
49,Female,48,44468.39,86,62,0
50,Female,22,103617.03,3,82,0
51,Male,55,104892.08,76,78,0
52,Female,20,75672.1,92,74,0
53,Male,40,30574.73,30,46,1
54,Female,54,55833.43,90,13,1
55,Male,54,85523.42,21,95,1
56,Female,27,118306.76,28,94,0
57,Female,27,86863.22,90,3,0
58,Male,36,53382.32,62,94,0
59,Male,34,87060.51,33,6,1
60,Male,38,78598.68,85,93,0
61,Male,31,100186.09,35,8,1
62,Male,26,39628.26,52,44,1
63,Male,63,98492.51,34,109,1
64,Male,18,78713.99,41,107,0
65,Male,68,116669.28,51,108,0
66,Female,62,60768.49,47,33,1
67,Female,30,86935.97,82,81,0
68,Male,21,113882.53,58,112,0
69,Female,18,39225.88,75,75,0
70,Female,66,114350.56,57,77,0
71,Female,57,91909.72,23,50,0
72,Female,49,36105.34,48,11,1
73,Male,51,57086.72,22,95,0
74,Female,45,93735.49,17,28,1
75,Male,48,36061.55,69,108,0
76,Female,25,82395.34,11,70,1
77,Female,56,61129.48,94,41,0
78,Female,43,85882.4,15,16,1
79,Male,51,34116.78,91,68,1
80,Female,20,108438.31,35,99,0
81,Male,67,117614.01,33,48,1
82,Female,29,117199.01,84,56,0
83,Male,18,97468.66,16,64,1
84,Female,61,41707.76,34,59,1
85,Male,22,98243.69,66,90,0
86,Male,47,32212.82,99,62,0
87,Female,47,31991.12,40,76,0
88,Male,34,59124.92,28,11,1
89,Female,65,73977.89,47,101,1
90,Female,64,99336.67,39,89,1
91,Female,40,91496.58,70,18,0
92,Female,32,70131.24,73,19,0
93,Female,54,54626.4,20,87,0
94,Female,38,119741.21,1,55,0
95,Female,31,68356.32,72,102,0
96,Female,19,70624.83,87,118,1
97,Female,28,44726.14,63,82,0
98,Female,68,101532.86,67,26,1
99,Female,56,92431.4,4,6,1
100,Male,55,49869.27,58,4,1
101,Male,51,37414.29,25,108,1
102,Female,55,91244.94,47,115,0
103,Female,67,88906.01,38,29,1
104,Female,51,54593.36,15,59,1
105,Female,35,115577.72,63,98,1
106,Female,47,43595.21,21,17,1
107,Female,32,68910.13,99,107,0
108,Female,44,114925.43,57,43,0
109,Female,68,67775.46,53,117,0
110,Male,51,87467.34,46,80,1
111,Female,69,65783.5,14,66,1
112,Male,55,54679.37,100,34,0
113,Female,50,118557.99,76,119,0
114,Female,41,66840.06,17,8,1
115,Male,32,110468.93,39,13,1
116,Female,47,50695.91,9,106,1
117,Male,59,49179.42,99,8,0
118,Female,68,32802.07,77,94,1
119,Female,34,88650.01,79,96,0
120,Male,22,63167.37,82,100,1
121,Female,46,107792.24,97,111,0
122,Male,21,72588.89,6,94,1
123,Female,27,117137.41,91,65,1
124,Male,34,46697.3,23,43,0
125,Male,27,108176.09,59,39,1
126,Female,34,99893.72,91,81,0
127,Female,37,99382.97,98,59,0
128,Male,41,106030.49,46,84,0
129,Female,22,98492.16,38,88,0
130,Female,51,86359.83,14,114,1
131,Female,23,41812.04,100,86,1
132,Male,19,32927.36,72,93,0
133,Male,30,112876.31,62,86,1
134,Male,60,85498.53,35,44,1
135,Male,60,101688.36,19,9,1
136,Male,65,73337.01,30,37,1
137,Male,28,40557.74,78,74,0
138,Male,68,41266.72,84,36,1
139,Male,64,91700.88,25,101,1
140,Male,40,68727.53,40,92,1
141,Female,33,48047.23,88,28,1
142,Male,48,74243.51,14,42,1
143,Female,28,35778.8,26,43,1
144,Female,33,82377.43,87,85,0
145,Female,25,54209.41,22,88,0
146,Male,21,101780.32,48,42,1
147,Male,57,57932.58,83,104,0
148,Male,21,70969.81,51,66,0
149,Male,42,31045.85,3,55,1
150,Female,20,36520.22,42,72,0
151,Male,49,65324.42,19,48,1
152,Male,20,73194.5,73,91,0
153,Male,44,84001.85,28,22,1
154,Male,46,56249.63,84,101,0
155,Male,49,92548.37,45,27,1
156,Female,67,107411.02,71,93,0
157,Male,68,100186.59,78,67,0
158,Female,36,33565.69,63,108,0
159,Male,38,73245.63,73,13,1
160,Female,22,39443.72,19,45,0
161,Male,35,51784.05,47,10,1
162,Male,45,118799.63,14,100,1
163,Female,59,42824.6,38,9,1
164,Female,39,74899.93,53,54,0
165,Female,38,85634.02,61,120,1
166,Male,23,93221.85,36,119,0
167,Female,18,80368.38,40,27,1
168,Male,22,30879.38,81,34,0
169,Male,58,59381.52,30,115,0
170,Female,29,76594.05,9,1,1
171,Female,43,37907.98,64,32,1
172,Male,63,61556.42,33,89,0
173,Male,51,32988.28,52,93,0
174,Female,66,37072.06,89,71,1
175,Female,31,65723.09,14,113,1
176,Female,43,41944.42,75,67,0
177,Male,62,81078.68,53,84,0
178,Male,44,92051.85,99,20,1
179,Male,26,102052.8,59,117,0
180,Male,43,48013.52,78,94,0
181,Male,64,45073.43,94,35,0
182,Male,39,39411.11,41,99,1
183,Female,64,87278.72,68,113,0
184,Male,47,93582.82,68,103,0
185,Male,60,32842.75,92,91,0
186,Male,65,114259.1,8,90,1
187,Female,34,34677.42,2,78,1
188,Male,43,78716.67,86,17,1
189,Male,53,93815.45,41,18,1
190,Female,18,108387.22,55,45,0
191,Male,25,94267.82,16,116,0
192,Male,66,102155.53,93,93,0
193,Male,52,60550.52,62,84,0
194,Male,69,103334.26,48,53,1
195,Male,32,37210.34,30,91,1
196,Female,64,110533.5,12,82,0
197,Female,39,79283.31,35,68,0
198,Female,31,103556.8,11,65,0
199,Male,43,70708.65,64,114,1
200,Male,45,87921.99,50,1,1
201,Male,40,77376.24,85,58,1
202,Female,31,95843.06,21,26,1
203,Male,41,37346.7,69,109,0
204,Male,19,35431.69,48,20,1
205,Female,62,52239.29,20,116,1
206,Male,43,44359.02,67,87,0
207,Female,31,108460.52,44,10,0
208,Female,68,49729.26,33,59,1
209,Female,24,117827.87,73,75,0
210,Male,20,60320.62,61,41,1
211,Male,64,46390.61,9,105,1
212,Male,40,101072.87,68,5,1
213,Male,63,89283.7,35,65,1
214,Male,60,74837.61,81,17,1
215,Male,64,79982.72,98,22,1
216,Male,62,94728.16,88,98,1
217,Female,35,50560.93,96,120,0
218,Male,55,119670.05,65,109,0
219,Female,52,117731.38,8,41,1
220,Male,68,88529.31,45,93,0
221,Male,32,47958.82,87,68,0
222,Male,42,91220.54,47,69,1
223,Female,54,36497.86,40,11,1
224,Female,45,32758.73,76,56,1
225,Female,27,53191.46,54,51,0
226,Female,56,71636.07,76,21,1
227,Male,34,108144.53,46,99,1
228,Female,56,95445.22,47,76,0
229,Male,39,96843.59,15,26,1
230,Male,43,68294.4,19,115,0
231,Female,61,61134.15,26,19,1
232,Female,42,63393.49,52,109,0
233,Female,34,118888.46,93,60,0
234,Female,30,33609.83,22,71,0
235,Female,37,108032.83,21,47,1
236,Female,42,82080.79,51,119,0
237,Female,21,69475.39,38,71,1
238,Female,27,95273.19,20,26,1
239,Male,20,73800.2,29,40,1
240,Female,58,108608.09,51,5,1
241,Female,62,111063.17,4,21,1
242,Male,35,67954.88,55,78,1
243,Female,64,54914.5,71,4,1
244,Male,53,83311.53,92,23,1
245,Male,64,112112.7,28,106,1
246,Female,39,48959.6,4,84,0
247,Male,51,86066.99,22,15,1
248,Male,64,86840.42,76,114,0
249,Male,25,95980.17,45,116,0
250,Male,57,41841.09,67,109,0
251,Female,66,94424.25,86,93,0
252,Male,61,111812.93,66,8,1
253,Female,36,46171.48,88,41,0
254,Male,59,51378.9,34,112,1
255,Male,58,117425.56,91,19,0
256,Male,54,46287.93,55,112,0
257,Male,23,106894.66,1,103,0
258,Female,69,74305.01,72,46,1
259,Female,43,52250.8,87,28,1
260,Male,51,108367.49,38,110,0
261,Male,62,70077.47,6,91,0
262,Female,23,76333.56,86,68,0
263,Male,54,62331.0,25,15,1
264,Male,50,83365.58,82,99,1
265,Male,39,44717.15,17,37,1
266,Female,38,65197.34,61,1,1
267,Female,23,117247.11,12,67,0
268,Female,23,53232.01,6,111,1
269,Male,65,89106.3,90,24,1
270,Male,21,59267.11,27,27,1
271,Female,47,99612.58,8,40,1
272,Female,28,41778.63,83,63,0
273,Female,47,117283.89,65,61,0
274,Female,48,70841.06,57,36,1
275,Male,41,51244.54,93,98,0
276,Female,26,36614.71,99,93,0
277,Male,20,45278.21,40,24,0
278,Female,68,76779.66,14,24,1
279,Male,48,60330.29,35,106,1
280,Female,57,104599.5,48,4,1
281,Female,54,68779.88,84,67,1
282,Female,53,52384.28,56,34,1
283,Female,41,85543.05,49,57,1
284,Male,48,93609.95,13,49,1
285,Female,23,45033.77,61,87,0
286,Male,19,45085.73,49,53,0
287,Male,37,33300.43,46,120,1
288,Male,45,96276.18,62,116,0
289,Male,28,89742.41,8,23,1
290,Female,21,72716.78,43,109,0
291,Male,32,105975.34,20,69,1
292,Male,23,102510.31,97,95,0
293,Male,66,82681.89,90,53,0
294,Female,47,108144.42,39,62,0
295,Female,55,48525.71,85,41,1
296,Female,68,40072.77,49,57,1
297,Female,19,54277.47,64,60,0
298,Male,32,35137.82,62,54,1
299,Male,28,77805.26,54,70,0
300,Female,25,114294.51,9,101,1
301,Male,43,33540.92,88,57,0
302,Male,68,40989.89,37,10,1
303,Male,62,70697.91,49,40,1
304,Female,61,114048.75,41,7,1
305,Female,22,58454.05,17,103,1
306,Male,23,75651.13,88,38,0
307,Female,43,33741.56,21,85,1
308,Female,21,43350.89,51,61,1
309,Female,36,118796.71,59,84,1
310,Female,37,116860.68,39,3,0
311,Female,50,30444.6,55,51,1
312,Male,37,115663.06,41,86,1
313,Female,66,87520.79,39,47,1
314,Male,29,108112.65,13,68,0
315,Male,64,70926.59,64,92,1
316,Female,18,76403.64,11,76,1
317,Male,43,73996.19,19,38,0
318,Male,31,90017.78,11,115,1
319,Male,55,42568.61,77,36,1
320,Female,54,32697.62,46,111,0
321,Female,28,57713.69,45,41,1
322,Male,53,93421.27,1,69,1
323,Female,30,48166.81,40,13,0
324,Female,60,90608.92,19,87,1
325,Female,20,117292.08,76,58,0
326,Female,50,38451.06,72,50,0
327,Male,23,90534.19,72,30,0
328,Male,67,69937.52,61,62,1
329,Female,27,108132.8,12,101,0
330,Female,22,45943.48,61,25,0
331,Male,40,92336.34,33,112,1
332,Male,27,105430.38,45,27,1
333,Female,61,115015.28,90,51,0
334,Male,19,91492.32,92,78,0
335,Female,30,74745.73,69,57,0
336,Female,57,85606.25,8,112,1
337,Male,19,108201.45,25,47,1
338,Male,37,81354.88,91,118,0
339,Female,18,32734.84,46,100,1
340,Female,54,113785.38,87,39,1
341,Male,26,92057.41,30,16,1
342,Female,34,90886.2,47,120,0
343,Male,26,49410.76,87,22,0
344,Female,28,89299.69,49,85,0
345,Male,32,65447.8,47,54,1
346,Male,41,88610.97,84,21,1
347,Male,55,39593.37,82,72,0
348,Female,52,89206.08,18,113,1
349,Female,47,119947.24,66,16,1
350,Male,48,34339.08,68,59,0
351,Female,66,117945.68,94,119,0
352,Male,22,66621.72,33,31,0
353,Male,61,108367.81,36,42,1
354,Female,67,100414.69,82,74,1
355,Female,31,81031.46,19,32,1
356,Male,28,96460.43,28,59,0
357,Female,26,109066.4,40,34,0
358,Female,51,66372.63,84,9,1
359,Male,29,59432.98,97,81,1
360,Male,52,90083.4,76,11,0
361,Female,52,102706.13,15,96,1
362,Male,18,98605.66,41,10,1
363,Male,57,101803.23,39,86,0
364,Female,39,69202.5,2,17,1
365,Male,46,103605.08,63,68,1
366,Male,25,40818.81,29,48,0
367,Female,28,79004.02,74,52,0
368,Female,58,30518.28,66,111,1
369,Male,54,59212.72,51,25,0
370,Male,31,62981.54,75,21,0
371,Female,47,65655.54,77,101,0
372,Female,52,92592.05,10,102,1
373,Female,38,64970.23,14,113,1
374,Female,54,70382.43,82,65,1
375,Male,22,51378.97,51,63,0
376,Female,36,63592.66,73,89,0
377,Female,31,50454.27,39,51,1
378,Male,43,36587.63,28,36,1
379,Female,21,84310.37,3,81,1
380,Male,42,90139.15,84,105,0
381,Female,62,85754.13,70,88,0
382,Female,59,71714.46,27,66,1
383,Female,42,64180.72,2,104,1
384,Male,35,107700.03,93,15,1
385,Male,57,76717.36,38,96,0
386,Female,25,73126.37,3,39,0
387,Male,56,32307.79,16,70,1
388,Male,57,60712.3,94,1,0
389,Male,31,64217.61,40,111,0
390,Male,49,65894.05,2,23,1
391,Male,68,82215.51,81,39,1
392,Male,55,78024.23,41,57,0
393,Female,50,84711.46,12,81,0
394,Female,40,98839.49,35,34,1
395,Male,32,103168.72,65,41,1
396,Female,50,94631.08,55,93,1
397,Female,42,115997.13,45,73,1
398,Female,34,31640.93,79,13,0
399,Female,50,47620.02,90,70,0
400,Male,64,30680.66,85,6,1
401,Female,19,88272.72,62,84,0
402,Female,31,110822.75,49,52,0
403,Male,57,51913.41,95,117,0
404,Male,57,113433.11,25,3,1
405,Female,68,35424.07,23,81,1
406,Female,56,114099.24,24,63,0
407,Female,68,61646.04,38,49,1
408,Female,23,39127.87,28,76,0
409,Female,23,73728.46,21,112,1
410,Female,20,53109.89,54,47,0
411,Male,24,55638.56,18,109,0
412,Female,68,57656.1,36,55,1
413,Female,25,102272.33,99,64,0
414,Male,59,78524.51,45,65,1
